2021-11-24 14:37:57,905 INFO    MainThread:11479 [wandb_setup.py:_flush():69] setting env: {}
2021-11-24 14:37:57,906 INFO    MainThread:11479 [wandb_setup.py:_flush():69] setting login settings: {}
2021-11-24 14:37:57,906 INFO    MainThread:11479 [wandb_init.py:_log_setup():357] Logging user logs to /opt/ml/finalproject/multilabel/baseline/wandb/run-20211124_143757-2p39056r/logs/debug.log
2021-11-24 14:37:57,906 INFO    MainThread:11479 [wandb_init.py:_log_setup():358] Logging internal logs to /opt/ml/finalproject/multilabel/baseline/wandb/run-20211124_143757-2p39056r/logs/debug-internal.log
2021-11-24 14:37:57,906 INFO    MainThread:11479 [wandb_init.py:init():390] calling init triggers
2021-11-24 14:37:57,906 INFO    MainThread:11479 [wandb_init.py:init():395] wandb.init called with sweep_config: {}
config: {}
2021-11-24 14:37:57,906 INFO    MainThread:11479 [wandb_init.py:init():435] starting backend
2021-11-24 14:37:57,906 INFO    MainThread:11479 [backend.py:_multiprocessing_setup():70] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-11-24 14:37:57,915 INFO    MainThread:11479 [backend.py:ensure_launched():135] starting backend process...
2021-11-24 14:37:57,922 INFO    MainThread:11479 [backend.py:ensure_launched():139] started backend process with pid: 11516
2021-11-24 14:37:57,923 INFO    MainThread:11479 [wandb_init.py:init():440] backend started and connected
2021-11-24 14:37:57,925 INFO    MainThread:11479 [wandb_init.py:init():499] updated telemetry
2021-11-24 14:37:57,925 INFO    MainThread:11479 [wandb_init.py:init():522] communicating current version
2021-11-24 14:37:58,673 INFO    MainThread:11479 [wandb_init.py:init():527] got version response upgrade_message: "wandb version 0.12.7 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-11-24 14:37:58,673 INFO    MainThread:11479 [wandb_init.py:init():535] communicating run to backend with 30 second timeout
2021-11-24 14:37:58,910 INFO    MainThread:11479 [wandb_init.py:init():562] starting run threads in backend
2021-11-24 14:38:03,915 INFO    MainThread:11479 [wandb_run.py:_console_start():1651] atexit reg
2021-11-24 14:38:03,915 INFO    MainThread:11479 [wandb_run.py:_redirect():1525] redirect: SettingsConsole.REDIRECT
2021-11-24 14:38:03,915 INFO    MainThread:11479 [wandb_run.py:_redirect():1530] Redirecting console.
2021-11-24 14:38:03,918 INFO    MainThread:11479 [wandb_run.py:_redirect():1586] Redirects installed.
2021-11-24 14:38:03,918 INFO    MainThread:11479 [wandb_init.py:init():587] run started, returning control to user process
2021-11-24 14:38:03,918 INFO    MainThread:11479 [wandb_run.py:_config_callback():878] config_cb None None {'config_train': 'config/train_alldata.yaml'}
2021-11-24 14:38:09,658 INFO    MainThread:11479 [wandb_watch.py:watch():43] Watching
